"Timestamp","What is your age?","What is your gender?  ","What is your occupation?  ","Does any member of your family or a close acquaintance live abroad?","Have you decided to move abroad?","How long do you plan to stay abroad?","Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ","What role do social media and online success stories play in influencing your decision to move abroad?","Who or what influences your decision to move abroad? (Multiple options can be selected)","Which countries are you most interested in moving to?","How much psychological stress or anxiety have you experienced while considering moving abroad?  ","What is your primary goal for considering moving abroad? (Multiple options can be selected)","What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ","How do you cope with the stress of planning to move abroad?","Do you think migration trends have increased among Bangladeshi youth in the last 5 years?","What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected)","Do you think you will return to Bangladesh in the future after living abroad?","Do you think your decision to move abroad will impact your family or community in Bangladesh?","Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ","Do you feel a sense of responsibility towards your family while planning to move abroad?","How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
"2025/06/20 8:14:42 PM GMT+6","31-40","Male","Unemployed","No","Not sure yet","Permanently","Yes","No role at all","Personal research and aspirations;Career mentors or teachers;Other","USA","Often","Other;Desire for independence;Economic opportunities","Visa or immigration concerns;Cultural shock;Separation from family","Hobbies or physical exercise","No change","Job information or experience;Other;All country Embassy is not in Bangladesh","Not sure","Positive impact","No","Yes","1"
"2025/06/20 8:14:48 PM GMT+6","18-24","Male","Student","Yes","Yes","3-5 years","Yes","No role at all","Family pressure or support;Personal research and aspirations;Social media and online success stories","USA","Sometimes","Better living standards;Higher education;Desire for independence","Job uncertainty;Other;Visa or immigration concerns","Hobbies or physical exercise","I’m not sure","Other;Financial issues;Family pressure or support","Not sure","Negative impact","Not Sure","Yes","5"
"2025/06/20 8:14:54 PM GMT+6","31-40","Female","Other","Yes","No","Permanently","Maybe","A significant role","Personal research and aspirations;Friends or peer influence;Social media and online success stories","UK","Often","Political stability;Economic opportunities;Higher education","Social acceptance;Visa or immigration concerns;Cultural shock","Joining online forums","No change","Educational qualification;Job information or experience;Family pressure or support","Yes","No impact","Not Sure","Maybe","5"
"2025/06/20 8:15:01 PM GMT+6","25-30","Male","Employed","Yes","No","Permanently","Yes","A significant role","Social media and online success stories;Other;Friends or peer influence","Europe (e.g., Germany, Sweden)","Always","Economic opportunities;Political stability;Desire for independence","Other;Cultural shock;Visa or immigration concerns","Talking to family and friends","I’m not sure","Other;Financial issues;Job information or experience","Yes","Positive impact","Not Sure","No","3"
"2025/06/20 8:15:07 PM GMT+6","40 or above","Male","Self-employed","Yes","Yes","3-5 years","No","A significant role","Other;Personal research and aspirations;Friends or peer influence","Canada","Often","Better job opportunities;Better living standards;Political stability","Visa or immigration concerns;Other;Separation from family","Hobbies or physical exercise","No change","Job information or experience;Other;All country Embassy is not in Bangladesh","Yes","Negative impact","Not Sure","No","2"
"2025/06/20 8:15:13 PM GMT+6","18-24","Male","Student","Yes","Not sure yet","3-5 years","Yes","A minor role","Friends or peer influence;Personal research and aspirations;Family pressure or support","Australia","Sometimes","Economic opportunities;Political stability;Other","Other;Language barriers;Separation from family","Talking to family and friends","I’m not sure","Family pressure or support;Financial issues;Visa or immigration process","Yes","Positive impact","Not Sure","No","1"
"2025/06/20 8:15:20 PM GMT+6","40 or above","Male","Freelancer","No","Yes","3-5 years","Maybe","No role at all","Career mentors or teachers;Social media and online success stories;Other","Australia","Sometimes","Healthcare;Better living standards;Better job opportunities","Cultural shock;Job uncertainty;Social acceptance","Joining online forums","No change","Financial issues;Visa or immigration process;Family pressure or support","Not sure","Not sure","Not Sure","No","3"
"2025/06/20 8:15:26 PM GMT+6","31-40","Male","Employed","Yes","Yes","Less than 1 year","Maybe","A minor role","Friends or peer influence;Personal research and aspirations;Family pressure or support","Europe (e.g., Germany, Sweden)","Sometimes","Economic opportunities;Political stability;Higher education","Job uncertainty;Other;Separation from family","Hobbies or physical exercise","No change","Visa or immigration process;Other;All country Embassy is not in Bangladesh","No","Not sure","Not Sure","No","5"
"2025/06/20 8:15:32 PM GMT+6","31-40","Female","Self-employed","Yes","Yes","3-5 years","Yes","No role at all","Other;Career mentors or teachers;Family pressure or support","Australia","Always","Political stability;Other;Better job opportunities","Language barriers;Cultural shock;Job uncertainty","Talking to family and friends","I’m not sure","Family pressure or support;Visa or immigration process;Educational qualification","Yes","Not sure","No","Maybe","4"
"2025/06/20 8:15:38 PM GMT+6","40 or above","Female","Other","No","No","3-5 years","Yes","A moderate role","Personal research and aspirations;Career mentors or teachers;Social media and online success stories","Australia","Always","Desire for independence;Better living standards;Other","Social acceptance;Cultural shock;Language barriers","Other","I’m not sure","Financial issues;All country Embassy is not in Bangladesh;Other","Not sure","Negative impact","Yes","No","3"
